,id_prod,id_pais,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo
355,P-ARM-2017,ARM,,,,,,
356,P-ARM-2018,ARM,,,,,,
357,P-ARM-2019,ARM,,,,,,
358,P-ARM-2020,ARM,,,,,,
359,P-ARM-2021,ARM,,,,,,
360,P-ABW-1986,ABW,,0.0,,0.0,,0.0
361,P-ABW-1987,ABW,,0.0,,0.0,,0.0
362,P-ABW-1988,ABW,,0.0,,0.0,,0.0
363,P-ABW-1989,ABW,,0.0,,0.0,,0.0
364,P-ABW-1990,ABW,,0.0,,0.0,,0.0
365,P-ABW-1991,ABW,,0.0,,0.0,,0.0
366,P-ABW-1992,ABW,,0.0,,0.0,,0.0
367,P-ABW-1993,ABW,,0.0,,0.0,,0.0
368,P-ABW-1994,ABW,,0.0,,0.0,,0.0
369,P-ABW-1995,ABW,,0.0,,0.0,,0.0
370,P-ABW-1996,ABW,,0.0,,0.0,,0.0
371,P-ABW-1997,ABW,,0.0,,0.0,,0.0
372,P-ABW-1998,ABW,,0.0,,0.0,,0.0
373,P-ABW-1999,ABW,,0.0,,0.0,,0.0
374,P-ABW-2000,ABW,,0.0,,0.0,,0.0
375,P-ABW-2001,ABW,,0.0,,0.0,,0.0
376,P-ABW-2002,ABW,,0.0,,0.0,,0.0
377,P-ABW-2003,ABW,,0.0,,0.0,,0.0
378,P-ABW-2004,ABW,,0.0,,0.0,,0.0
379,P-ABW-2005,ABW,,0.0,,0.0,,0.0
380,P-ABW-2006,ABW,,0.0,,0.0,,0.0
381,P-ABW-2007,ABW,,0.0,,0.0,,0.0
382,P-ABW-2008,ABW,,0.0,,0.0,,0.0
383,P-ABW-2009,ABW,,0.0,,0.0,,0.0
384,P-ABW-2010,ABW,,0.0,,0.0,,0.0
385,P-ABW-2011,ABW,,0.0,,0.0,,0.0
386,P-ABW-2012,ABW,,0.0,,0.0,,0.0
387,P-ABW-2013,ABW,,0.0,,0.0,,0.0
388,P-ABW-2014,ABW,,0.0,,0.0,,0.0
389,P-ABW-2015,ABW,,0.0,,0.0,,0.0
390,P-ABW-2016,ABW,,0.0,,0.0,,0.0
391,P-ABW-2017,ABW,,,,,,
392,P-ABW-2018,ABW,,,,,,
393,P-ABW-2019,ABW,,,,,,
394,P-ABW-2020,ABW,,,,,,
395,P-AUS-1980,AUS,21.425,697.435,14.828,110.666,-6.176,253.985
396,P-AUS-1981,AUS,13.067,788.571,8.384,119.944,-2.6,247.382
397,P-AUS-1982,AUS,2.078,804.954,-2.471,116.981,-1.395,243.931
398,P-AUS-1983,AUS,4.197,838.741,8.629,127.075,-2.658,237.447
399,P-AUS-1984,AUS,5.029,880.917,-1.383,125.317,29.713,307.999
400,P-AUS-1985,AUS,21.958,1074.346,6.891,133.953,15.858,356.841
