,id_emision,id_pais,emision_co2,intensidad_carbono
325,E-SLB-1981,SLB,0.19536,
326,E-SOM-1981,SOM,2.23674,
327,E-ZAF-1981,ZAF,457.28203864394425,
328,E-KOR-1981,KOR,277.8016710055472,
329,E-ESP-1981,ESP,378.24463865780353,
330,E-LKA-1981,LKA,9.74476,
331,E-SDN-1981,SDN,6.332565517577207,
332,E-SUR-1981,SUR,4.17848,
333,E-SWE-1981,SWE,166.1430311819161,
334,E-CHE-1981,CHE,82.57682176202697,
335,E-SYR-1981,SYR,32.856174005731624,
336,E-TWN-1981,TWN,140.20719911592707,
337,E-TZA-1981,TZA,3.82372,
338,E-THA-1981,THA,67.14409615976736,
339,E-TGO-1981,TGO,1.16466,
340,E-TON-1981,TON,0.05822,
341,E-TTO-1981,TTO,21.1162231,
342,E-TUN-1981,TUN,17.079974410233895,
343,E-TUR-1981,TUR,124.27324928192891,
344,E-TCA-1981,TCA,0.0,
345,E-TUV-1981,TUV,0.0,
346,E-UGA-1981,UGA,1.40454,
347,E-ARE-1981,ARE,32.8894293,
348,E-GBR-1981,GBR,1225.2978476018916,
349,E-USA-1981,USA,9512.540206,
350,E-URY-1981,URY,11.515260926132697,
351,E-VUT-1981,VUT,0.23326,
352,E-VEN-1981,VEN,178.99541864761161,
353,E-VNM-1981,VNM,19.027115031727526,
354,E-ESH-1981,ESH,0.31398,
355,E-YEM-1981,YEM,12.86844,
356,E-ZMB-1981,ZMB,7.254504080265469,
357,E-ZWE-1981,ZWE,15.346868766347116,
358,E-AFG-1982,AFG,3.0192554704717667,
359,E-ALB-1982,ALB,19.066137507808733,
360,E-DZA-1982,DZA,78.75238676413265,
361,E-ASM-1982,ASM,0.9992148081521142,
362,E-AGO-1982,AGO,6.777685808,
363,E-ATA-1982,ATA,0.2,
364,E-ATG-1982,ATG,0.8,
365,E-ARG-1982,ARG,181.47357273165704,
366,E-AUS-1982,AUS,435.7480327341112,
367,E-AUT-1982,AUT,103.1949332876681,
368,E-BHR-1982,BHR,17.7320792,
369,E-BGD-1982,BGD,15.53476406355417,
370,E-BRB-1982,BRB,2.044440264,
371,E-BEL-1982,BEL,246.8285297964772,
372,E-BLZ-1982,BLZ,0.4,
373,E-BEN-1982,BEN,0.8,
374,E-BMU-1982,BMU,1.0,
375,E-BTN-1982,BTN,0.0499105402996045,
376,E-BOL-1982,BOL,9.27907854,
377,E-BWA-1982,BWA,2.5593091755051716,
378,E-BRA-1982,BRA,356.19324753390464,
379,E-VGB-1982,VGB,0.06996,
380,E-BRN-1982,BRN,9.386938374,
381,E-BGR-1982,BGR,177.9773139435011,
382,E-BFA-1982,BFA,0.8,
383,E-BDI-1982,BDI,0.2,
384,E-KHM-1982,KHM,0.08188,
385,E-CMR-1982,CMR,4.6,
386,E-CAN-1982,CAN,797.7131953582948,
387,E-CYM-1982,CYM,0.2,
388,E-CAF-1982,CAF,0.4,
389,E-TCD-1982,TCD,0.6,
390,E-CHL-1982,CHL,41.554597383999315,
391,E-CHN-1982,CHN,3174.380606389507,
392,E-COL-1982,COL,73.3284669323261,
393,E-COM-1982,COM,0.08268,
394,E-COK-1982,COK,0.11208,
395,E-CRI-1982,CRI,4.669157721703325,
396,E-CUB-1982,CUB,61.00771615205778,
397,E-CYP-1982,CYP,4.8,
398,E-DNK-1982,DNK,106.54133763807837,
399,E-DJI-1982,DJI,2.4,
400,E-DMA-1982,DMA,0.06996,
401,E-DOM-1982,DOM,10.4,
402,E-ECU-1982,ECU,24.275894666,
403,E-EGY-1982,EGY,96.7993481703312,
404,E-SLV-1982,SLV,3.4,
405,E-GNQ-1982,GNQ,0.11074,
406,E-SWZ-1982,SWZ,1.3204655781387136,
407,E-ETH-1982,ETH,3.4,
408,E-FLK-1982,FLK,0.02302,
409,E-FJI-1982,FJI,1.6645112076694069,
410,E-FIN-1982,FIN,86.96595639003556,
411,E-FRA-1982,FRA,832.3456059301786,
412,E-GUF-1982,GUF,0.6,
413,E-PYF-1982,PYF,0.6,
414,E-GAB-1982,GAB,3.633311386,
415,E-DEU-1982,DEU,0.0,
416,E-GHA-1982,GHA,3.8,
417,E-GIB-1982,GIB,1.0,
418,E-GRC-1982,GRC,96.03561991954982,
419,E-GRL-1982,GRL,0.0,
420,E-GRD-1982,GRD,0.10508,
421,E-GLP-1982,GLP,1.4,
422,E-GUM-1982,GUM,9.80262714950519,
423,E-GTM-1982,GTM,7.2,
424,E-GIN-1982,GIN,1.6,
425,E-GNB-1982,GNB,0.16608,
426,E-GUY-1982,GUY,3.2,
427,E-HTI-1982,HTI,1.4468958196413824,
428,E-HND-1982,HND,3.0,
429,E-HKG-1982,HKG,38.2977077075948,
430,E-HUN-1982,HUN,148.02064764632325,
431,E-ISL-1982,ISL,3.4039255520299827,
432,E-IND-1982,IND,609.3459038556043,
433,E-IDN-1982,IDN,157.97312797179592,
434,E-IRN-1982,IRN,189.15360744582767,
435,E-IRQ-1982,IRQ,62.55531518,
436,E-IRL-1982,IRL,40.80539608367694,
437,E-ISR-1982,ISR,46.2755927760321,
438,E-ITA-1982,ITA,691.0111426604897,
439,E-JAM-1982,JAM,13.4,
440,E-JPN-1982,JPN,1697.5832282636934,
441,E-JOR-1982,JOR,12.4,
442,E-KEN-1982,KEN,11.359158609806212,
443,E-KIR-1982,KIR,0.05302,
444,E-KWT-1982,KWT,45.110066,
445,E-LAO-1982,LAO,0.4,
446,E-LBN-1982,LBN,12.032027585886036,
447,E-LSO-1982,LSO,0.2,
448,E-LBR-1982,LBR,3.4,
449,E-LBY-1982,LBY,44.2210726,
450,E-LUX-1982,LUX,20.639239495575953,
451,E-MDG-1982,MDG,2.052865965555469,
452,E-MWI-1982,MWI,1.2225860622888938,
