,id_cons,id_pais,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,en_con_carb_porc_anual,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol
572,C-BHR-1995,BHR,,,,,,,,,,,,,,,,,
573,C-BHR-1996,BHR,,,,,,,,,,,,,,,,,
574,C-BHR-1997,BHR,,,,,,,,,,,,,,,,,
575,C-BHR-1998,BHR,,,,,,,,,,,,,,,,,
576,C-BHR-1999,BHR,,,,,,,,,,,,,,,,,
577,C-BHR-2000,BHR,,,,,,,,,,,,,,,,,
578,C-BHR-2001,BHR,,,,,,,,,,,,,,,,,
579,C-BHR-2002,BHR,,,,,,,,,,,,,,,,,
580,C-BHR-2003,BHR,,,,,,,,,,,,,,,,,
581,C-BHR-2004,BHR,,,,,,,,,,,,,,,,,
582,C-BHR-2005,BHR,,,,,,,,,,,,,,,,,
583,C-BHR-2006,BHR,,,,,,,,,,,,,,,,,
584,C-BHR-2007,BHR,,,,,,,,,,,,,,,,,
585,C-BHR-2008,BHR,,,,,,,,,,,,,,,,,
586,C-BHR-2009,BHR,,,,,,,,,,,,,,,,,
587,C-BHR-2010,BHR,,,,,,,,,,,,,,,,,
588,C-BHR-2011,BHR,,,,,,,,,,,,,,,,,
589,C-BHR-2012,BHR,,,,,,,,,,,,,,,,,
590,C-BHR-2013,BHR,,,,,,,,,,,,,,,,,
591,C-BHR-2014,BHR,,,,,,,,,,,,,,,,,
592,C-BHR-2015,BHR,,,,,,,,,,,,,,,,,
593,C-BHR-2016,BHR,,,,,,,,,,,,,,,,,
594,C-BHR-2017,BHR,,,,,,,,,,,,,,,,,
595,C-BHR-2018,BHR,,,,,,,,,,,,,,,,,
596,C-BHR-2019,BHR,,,,,,,,,,,,,,,,,
597,C-BHR-2020,BHR,,,,,,,,,,,,,,,,,
598,C-BHR-2021,BHR,,,,,,,,,,,,,,,,,
599,C-BGD-1980,BGD,,,33.588,1.444,4.156,24.585,12.291,-0.681,1.724,,0.0,12.732,19.291,,0.0,,0.0
600,C-BGD-1981,BGD,,,2.801,1.485,4.03,10.762,13.614,7.204,1.848,,0.0,3.12,19.893,,0.0,,0.0
601,C-BGD-1982,BGD,,,21.141,1.799,4.426,29.83,17.675,-16.32,1.547,,0.0,-1.365,19.621,,0.0,,0.0
602,C-BGD-1983,BGD,,,-43.404,1.018,2.533,11.272,19.667,26.577,1.958,,0.0,-10.569,17.547,,0.0,,0.0
603,C-BGD-1984,BGD,,,-59.981,0.407,0.938,15.424,22.701,35.498,2.652,,0.0,0.767,17.682,,0.0,,0.0
604,C-BGD-1985,BGD,,,39.83,0.57,1.18,13.567,25.78,-17.614,2.185,,0.0,11.632,19.739,,0.0,,0.0
605,C-BGD-1986,BGD,,,51.022,0.86,1.638,12.76,29.07,-39.107,1.331,,0.0,7.785,21.275,,0.0,,0.0
606,C-BGD-1987,BGD,,,57.431,1.354,2.336,17.495,34.156,14.889,1.529,,0.0,-1.551,20.945,,0.0,,0.0
607,C-BGD-1988,BGD,,,3.005,1.395,2.16,17.699,40.201,30.561,1.996,,0.0,0.185,20.984,,0.0,,0.0
608,C-BGD-1989,BGD,,,4.167,1.453,2.087,5.715,42.499,36.296,2.72,,0.0,9.329,22.942,,0.0,,0.0
609,C-BGD-1990,BGD,,,125.2,3.273,4.431,7.632,45.742,-3.913,2.614,,0.0,-3.113,22.228,,0.0,,0.0
610,C-BGD-1991,BGD,,,-68.028,1.046,1.468,2.985,47.107,-5.204,2.478,,0.0,-7.221,20.623,,0.0,,0.0
611,C-BGD-1992,BGD,,,-6.111,0.982,1.264,9.049,51.37,-5.012,2.354,,0.0,11.547,23.004,,0.0,,0.0
612,C-BGD-1993,BGD,,,-62.722,0.366,0.429,11.938,57.503,-23.618,1.798,,0.0,12.019,25.769,,0.0,,0.0
613,C-BGD-1994,BGD,,,-6.349,0.343,0.378,6.057,60.986,39.309,2.505,,0.0,4.221,26.857,,0.0,,0.0
614,C-BGD-1995,BGD,,,988.125,3.732,3.484,10.556,67.423,-56.08,1.1,,0.0,29.775,34.853,,0.0,,0.0
615,C-BGD-1996,BGD,,,-45.171,2.046,1.824,7.329,72.365,98.656,2.185,,0.0,2.16,35.606,,0.0,,0.0
616,C-BGD-1997,BGD,,,83.523,3.755,3.185,-1.702,71.133,-2.706,2.126,,0.0,14.802,40.877,,0.0,,0.0
617,C-BGD-1998,BGD,,,-71.208,1.081,0.861,8.058,76.864,20.306,2.558,,0.0,10.223,45.056,,0.0,,0.0
618,C-BGD-1999,BGD,,,-50.538,0.535,0.421,9.028,83.804,-3.699,2.463,,0.0,-10.813,40.184,,0.0,,0.0
619,C-BGD-2000,BGD,,,617.398,3.836,2.818,8.088,90.582,-10.084,2.215,,0.0,-1.732,39.488,,0.0,,0.0
620,C-BGD-2001,BGD,,,6.06,4.069,2.615,11.978,101.432,32.577,2.917,,0.0,19.447,47.167,,0.0,,0.0
621,C-BGD-2002,BGD,,,4.429,4.249,2.647,5.205,106.711,-24.572,2.186,,0.0,0.419,47.364,,0.0,,0.0
622,C-BGD-2003,BGD,,,-4.378,4.063,2.388,7.565,114.784,0.0,2.172,,0.0,3.657,49.096,800.0,0.003,,0.0
623,C-BGD-2004,BGD,,,0.143,4.069,2.312,7.508,123.402,0.0,2.158,,0.0,-5.636,46.329,111.111,0.005,,0.0
624,C-BGD-2005,BGD,,,105.164,8.348,4.399,7.481,132.634,0.0,2.145,,0.0,0.633,46.623,78.947,0.01,,0.0
625,C-BGD-2006,BGD,,,51.939,12.684,6.169,8.294,143.634,0.0,2.131,,0.0,1.073,47.123,58.824,0.015,,0.005
