,id_gen,id_pais,poblacion,pbi,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc
89,G-DZA-1987,DZA,23774288.0,118321217536.0,,,,,,,0.499,3.922,,,0.0,0.0,,,0.0,0.0,0.0,0.0
90,G-DZA-1988,DZA,24443472.0,115821715456.0,,,,,,,0.183,1.31,,,0.0,0.0,,,0.0,0.0,0.0,0.0
91,G-DZA-1989,DZA,25106192.0,119762436096.0,,,,,,,0.226,1.475,,,0.0,0.0,,,0.0,0.0,0.0,0.0
92,G-DZA-1990,DZA,25758872.0,117843181568.0,,,,,,,0.135,0.838,,,0.0,0.0,,,0.0,0.0,0.0,0.0
93,G-DZA-1991,DZA,26400468.0,121105154048.0,,,,,,,0.293,1.689,,,0.0,0.0,,,0.0,0.0,0.0,0.0
94,G-DZA-1992,DZA,27028330.0,127982673920.0,,,,,,,0.199,1.088,,,0.0,0.0,,,0.0,0.0,0.0,0.0
95,G-DZA-1993,DZA,27635518.0,130275762176.0,,,,,,,0.353,1.818,,,0.0,0.0,,,0.0,0.0,0.0,0.0
96,G-DZA-1994,DZA,28213778.0,134279872512.0,,,,,,,0.166,0.835,,,0.0,0.0,,,0.0,0.0,0.0,0.0
97,G-DZA-1995,DZA,28757788.0,145054695424.0,,,,,,,0.193,0.979,,,0.0,0.0,,,0.0,0.0,0.0,0.0
98,G-DZA-1996,DZA,29266414.0,156579102720.0,,,,,,,0.135,0.654,,,0.0,0.0,,,0.0,0.0,0.0,0.0
99,G-DZA-1997,DZA,29742980.0,164644454400.0,,,,,,,0.075,0.349,,,0.0,0.0,,,0.0,0.0,0.0,0.0
100,G-DZA-1998,DZA,30192750.0,179962871808.0,,,,,,,0.215,0.924,,,0.0,0.0,,,0.0,0.0,0.0,0.0
101,G-DZA-1999,DZA,30623406.0,193179811840.0,,,,,,,0.203,0.82,,,0.0,0.0,,,0.0,0.0,0.0,0.0
102,G-DZA-2000,DZA,31042238.0,208554147840.0,0.0,0.0,0.0,0.0,22.81,89.761,0.054,0.212,-0.07,-0.294,0.0,0.0,1.03,4.053,0.0,0.0,0.0,0.0
103,G-DZA-2001,DZA,31451514.0,223420301312.0,0.0,0.0,0.0,0.0,23.96,89.991,0.069,0.259,-0.05,-0.2,0.0,0.0,1.0,3.756,0.0,0.0,0.0,0.0
104,G-DZA-2002,DZA,31855110.0,245360885760.0,0.0,0.0,0.0,0.0,24.99,90.386,0.057,0.206,-0.02,-0.077,0.0,0.0,0.95,3.436,0.0,0.0,0.0,0.0
105,G-DZA-2003,DZA,32264158.0,273568645120.0,0.0,0.0,0.0,0.0,26.57,89.982,0.265,0.897,0.01,0.036,0.0,0.0,0.98,3.319,0.0,0.0,0.0,0.0
106,G-DZA-2004,DZA,32692152.0,296773615616.0,0.0,0.0,0.0,0.0,28.16,90.115,0.251,0.803,0.01,0.034,0.0,0.0,0.98,3.136,0.0,0.0,0.0,0.0
107,G-DZA-2005,DZA,33149718.0,326854475776.0,0.0,0.0,0.0,0.0,30.37,89.547,0.555,1.637,0.08,0.25,0.0,0.0,0.98,2.89,0.0,0.0,0.0,0.0
108,G-DZA-2006,DZA,33641008.0,345705349120.0,0.0,0.0,0.0,0.0,32.02,90.896,0.218,0.618,0.08,0.241,0.0,0.0,0.88,2.498,0.0,0.0,0.0,0.0
109,G-DZA-2007,DZA,34166976.0,371665207296.0,0.0,0.0,0.0,0.0,33.8,90.592,0.226,0.606,0.01,0.029,0.0,0.0,0.95,2.546,0.0,0.0,0.0,0.0
110,G-DZA-2008,DZA,34730604.0,395658559488.0,0.0,0.0,0.0,0.0,36.37,90.389,0.283,0.703,-0.05,-0.132,0.0,0.0,1.18,2.933,0.0,0.0,0.0,0.0
111,G-DZA-2009,DZA,35333884.0,418247671808.0,0.0,0.0,0.0,0.0,34.85,80.836,0.342,0.793,-0.03,-0.083,0.0,0.0,1.06,2.459,0.0,0.0,0.0,0.0
112,G-DZA-2010,DZA,35977448.0,450705883136.0,0.0,0.0,0.0,0.0,41.76,91.309,0.173,0.378,-0.07,-0.163,0.0,0.0,1.07,2.34,0.009,0.02,0.0,0.0
113,G-DZA-2011,DZA,36661436.0,482034778112.0,0.0,0.0,0.0,0.0,46.38,87.387,0.378,0.712,-0.14,-0.291,0.0,0.0,1.3,2.449,0.018,0.034,0.0,0.0
114,G-DZA-2012,DZA,37383900.0,497923358720.0,0.0,0.0,0.0,0.0,52.0,90.597,0.389,0.678,-0.05,-0.093,0.0,0.0,1.37,2.387,0.027,0.047,0.0,0.0
115,G-DZA-2013,DZA,38140136.0,511887736832.0,0.0,0.0,0.0,0.0,54.63,91.217,0.099,0.165,-0.09,-0.16,0.0,0.0,1.36,2.271,0.029,0.048,0.0,0.0
116,G-DZA-2014,DZA,38923688.0,531308085248.0,0.0,0.0,0.0,0.0,58.61,91.235,0.193,0.3,-0.19,-0.316,0.0,0.0,1.54,2.397,0.06,0.093,0.001,0.002
117,G-DZA-2015,DZA,39728020.0,551519125504.0,0.0,0.0,0.0,0.0,62.82,91.311,0.145,0.211,-0.03,-0.046,0.0,0.0,1.64,2.384,0.058,0.084,0.019,0.028
118,G-DZA-2016,DZA,40551400.0,574696128512.0,0.0,0.0,0.0,0.0,64.83,91.314,0.072,0.101,-0.25,-0.376,0.0,0.0,1.59,2.24,0.245,0.345,0.019,0.027
119,G-DZA-2017,DZA,41389176.0,582167232512.0,0.0,0.0,0.0,0.0,69.25,91.098,0.056,0.074,-0.34,-0.478,0.0,0.0,1.61,2.118,0.504,0.663,0.019,0.025
120,G-DZA-2018,DZA,42228416.0,590317551616.0,0.0,0.0,0.0,0.0,69.92,91.204,0.117,0.153,-0.09,-0.125,0.0,0.0,1.41,1.839,0.603,0.787,0.01,0.013
121,G-DZA-2019,DZA,43053056.0,,0.0,0.0,0.0,0.0,74.4,91.258,0.152,0.186,-0.14,-0.183,0.0,0.0,1.45,1.779,0.615,0.754,0.01,0.012
122,G-DZA-2020,DZA,43851044.0,,0.0,0.0,0.0,0.0,70.66,89.268,0.05,0.063,-0.14,-0.193,0.0,0.0,1.36,1.718,0.685,0.865,0.008,0.01
123,G-DZA-2021,DZA,44616624.0,,,,,,,,0.009,0.011,,,,,,,0.664,0.788,0.01,0.012
124,G-ASM-1980,ASM,32647.0,,,,,,,,,,,,,,,,,,,
125,G-ASM-1981,ASM,33697.0,,,,,,,,,,,,,,,,,,,
126,G-ASM-1982,ASM,34969.0,,,,,,,,,,,,,,,,,,,
127,G-ASM-1983,ASM,36413.0,,,,,,,,,,,,,,,,,,,
128,G-ASM-1984,ASM,37946.0,,,,,,,,,,,,,,,,,,,
129,G-ASM-1985,ASM,39521.0,,,,,,,,,,,,,,,,,,,
130,G-ASM-1986,ASM,41114.0,,,,,,,,,,,,,,,,,,,
131,G-ASM-1987,ASM,42741.0,,,,,,,,,,,,,,,,,,,
132,G-ASM-1988,ASM,44346.0,,,,,,,,,,,,,,,,,,,
133,G-ASM-1989,ASM,45894.0,,,,,,,,,,,,,,,,,,,
134,G-ASM-1990,ASM,47351.0,,,,,,,,,,,,,,,,,,,
135,G-ASM-1991,ASM,48682.0,,,,,,,,,,,,,,,,,,,
